DATA ZAWARCIA TRANSAKCJI,MIASTO,DZIELNICA,ULICA,RODZAJ RYNKU,CENA NABYCIA,POWIERZCHNIA MIESZKANIA,CENA ZA 1 MKW,POŁOŻENIE NA KONDYGNACJI,OBECNOŚĆ MIEJSCA PARKINGOWEGO,STANDARD,ROK BUDOWY,ROK BUDOWY
2017 02 03,Gdynia, Leszczynki,Działdowska,RYNEK WTÓRNY,275000,54.75,6224.65753424658,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 03,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,605566.2,118.8,6082.54377104377,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Wzgórze Św. Maksymiliana,Chopina,RYNEK WTÓRNY,490000,60.02,9330.48983672109,10,BRAK MP,DOBRY,60-70,1
2017 02 04,Gdynia, Oksywie,Australijska,RYNEK PIERWOTNY,417998.398148148,76.32,6565.17817280068,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 04,Gdynia, Karwiny,Buraczana,RYNEK WTÓRNY,595000,95,7294.73684210526,3,BRAK MP,DOBRY,70-80,2
2018 02 21,Gdynia, Wzgórze Św. Maksymiliana,Wyspiańskiego,RYNEK WTÓRNY,410000,50.79,9305.61134081512,9,BRAK MP,DOBRY,60-70,1
2017 02 06,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,620000,115.05,6380.18252933507,4,MIEJSCE NAZIEMNE,PRZECIĘTNY,2010,3
2017 02 06,Gdynia, Obłuże,Maciejewicza,RYNEK WTÓRNY,356000,64.15,6692.43959469992,1,BRAK MP,PRZECIĘTNY,80,2
2017 02 06,Gdynia, Obłuże,Jantarowa,RYNEK WTÓRNY,327500,52.55,7450.80875356803,1,BRAK MP,DOBRY,2010,3
2017 02 09,Gdynia, Działki Leśne,Wolności,RYNEK WTÓRNY,445000,51.75,9824.15458937198,3,MIEJSCE NAZIEMNE,BARDZO DOBRY,2010,3
2018 03 26,Gdynia, Wzgórze Św. Maksymiliana,Wyspiańskiego,RYNEK WTÓRNY,410000,50.79,9305.61134081512,9,BRAK MP,DOBRY,60-70,1
2017 02 09,Gdynia, Redłowo,Powstania Styczniowego,RYNEK WTÓRNY,510000,59.76,9702.27576974565,1,BRAK MP,BARDZO DOBRY,2010,3
2017 02 09,Sopot, Sopot,Okrzei,RYNEK PIERWOTNY,1990740.74,98.59,21215.262602698,4,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,60-70,1
2017 02 09,Sopot, Sopot,Sępia,RYNEK WTÓRNY,1700000,118.55,15325.5166596373,1,BRAK MP,WYSOKI,30,1
2017 02 09,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,680000,50.75,14632.5123152709,5,BRAK MP,WYSOKI,30,1
2017 02 09,Sopot, Sopot,Grunwaldzka,RYNEK WTÓRNY,955000,75.65,13714.7389292796,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,Polna,RYNEK WTÓRNY,560000,46.45,13329.601722282,2,BRAK MP,BARDZO DOBRY,2010,3
2017 02 09,Sopot, Sopot,Grunwaldzka,RYNEK WTÓRNY,1000000,90.39,12106.5604602279,4,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,Haffnera,RYNEK WTÓRNY,1300000,121.85,11649.4050061551,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,3 Maja,RYNEK WTÓRNY,870000,83.23,11517.2894389042,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,794000,78.05,11254.8366431775,3,BRAK MP,BARDZO DOBRY,2015,3
2017 02 09,Gdynia, Śródmieście z Portem,Św. Wojciecha,RYNEK WTÓRNY,210000,63.62,4446.6519962276,2,BRAK MP,NISKI,40-50,1
2017 02 09,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,285000,54.75,6407.30593607306,5,BRAK MP,PRZECIĘTNY,40-50,1
2017 08 17,Gdynia, Wzgórze Św. Maksymiliana,Pola,RYNEK WTÓRNY,470000,57.95,9290.07765314927,9,BRAK MP,DOBRY,60-70,1
2017 02 09,Gdynia, Mały Kack,Leśna,RYNEK WTÓRNY,460000,63.46,8395.33564450047,1,BRAK MP,DOBRY,2010-2015,3
2017 02 09,Gdynia, Oksywie,Australijska,RYNEK PIERWOTNY,334277.601851852,60.51,6687.91277229965,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Oksywie,Gen. Wittekówny,RYNEK PIERWOTNY,504422.081300813,86.26,6902.7368571854,10,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Oksywie,Australijska,RYNEK PIERWOTNY,359863,60.36,7126.42478462558,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Orłowo,Bernadowska,RYNEK PIERWOTNY,706202.94,92.6,8663.9626349892,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Orłowo,Architektów,RYNEK PIERWOTNY,630092.59,71.35,9939.34954449895,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Orłowo,Kiedronia,RYNEK PIERWOTNY,934100.05,98.6,10496.7550709939,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Orłowo,Orłowska,RYNEK PIERWOTNY,1092455.28,88.9,13336.0548931384,2,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Śródmieście z Portem,I Armii Wojska Polskiego,RYNEK WTÓRNY,340000,61.05,6729.56592956593,3,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Śródmieście z Portem,Pl. Kaszubski,RYNEK WTÓRNY,320000,56.75,6826.43171806167,6,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Chwarzno-Wiczlino,Kańskiego,RYNEK WTÓRNY,500000,70.75,8178.09187279152,2,BRAK MP,DOBRY,2015,3
2017 02 09,Gdynia, Chwarzno-Wiczlino,Staniszewskiego,RYNEK WTÓRNY,459000,67.25,7952.41635687732,1,BRAK MP,DOBRY,2015,3
2017 02 09,Gdynia, Działki Leśne,Tatrzańska,RYNEK WTÓRNY,555000,77.35,8259.59922430511,2,BRAK MP,DOBRY,50-60,1
2017 02 09,Gdynia, Kamienna Góra,Marszałka Piłsudskiego Al.,RYNEK WTÓRNY,420000,60.52,8103.37078651685,3,BRAK MP,DOBRY,70-80,2
2017 02 09,Gdynia, Kamienna Góra,Kasprowicza,RYNEK WTÓRNY,850000,122.79,7901.55550126232,1,BRAK MP,DOBRY,70-80,2
2017 02 09,Gdynia, Mały Kack,Leśna,RYNEK PIERWOTNY,577230.94,91.58,7343.25114653855,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,448120.38,71.94,7334.89546844593,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,681483.69,120.43,6641.43228431454,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 02 09,Gdynia, Oksywie,Czwartaków,RYNEK WTÓRNY,340000,102.85,4319.68886728245,4,BRAK MP,NISKI,80,2
2017 02 09,Gdynia, Pogórze,Żelazna,RYNEK WTÓRNY,225000,67.55,4456.55070318283,6,BRAK MP,NISKI,80,2
2017 02 09,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,255000,74.61,4512.63905642675,10,BRAK MP,NISKI,80,2
2017 02 09,Gdynia, Redłowo,Powstania Wielkopolskiego,RYNEK WTÓRNY,313000,45.65,8138.44468784228,4,BRAK MP,DOBRY,70-80,2
2017 02 09,Gdynia, Redłowo,Powstania Śląskiego,RYNEK WTÓRNY,363000,56.35,7632.29813664596,5,BRAK MP,DOBRY,70-80,2
2017 02 09,Sopot, Sopot,Czyżewskiego,RYNEK WTÓRNY,747000,78.35,10614.9329929802,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,750000,82.25,10186.0182370821,1,BRAK MP,BARDZO DOBRY,30,1
2017 02 09,Sopot, Sopot,Dębowa,RYNEK WTÓRNY,650000,72.33,10090.7507258399,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Sopot, Sopot,Wybickiego,RYNEK WTÓRNY,830000,93.45,9917.17495987159,3,BRAK MP,BARDZO DOBRY,30,1
2017 02 09,Sopot, Sopot,Sienkiewicza,RYNEK WTÓRNY,328000,48.15,8068.95119418484,11,BRAK MP,DOBRY,30,1
2017 02 09,Sopot, Sopot,23 Marca,RYNEK WTÓRNY,631000,92.85,7832.84868066774,3,BRAK MP,DOBRY,70-80,2
2017 02 09,Gdynia, Śródmieście z Portem,Armii Krajowej,RYNEK WTÓRNY,450000,77.37,6900.55577097066,4,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK WTÓRNY,540000,87.15,7248.65174985657,3,BRAK MP,DOBRY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Starodworcowa,RYNEK WTÓRNY,490000,75.28,7601.27523910733,2,BRAK MP,DOBRY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,320000,51.55,7434.33559650824,4,BRAK MP,DOBRY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Chwaszczyńska,RYNEK WTÓRNY,325000,52.41,7420.87387903072,3,GARAŻ JEDNOSTANOWISKOWY,DOBRY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Lipowa,RYNEK WTÓRNY,440000,75.95,6882.94930875576,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2018 03 21,Gdynia, Wzgórze Św. Maksymiliana,Pola,RYNEK WTÓRNY,470000,57.95,9290.07765314927,9,BRAK MP,DOBRY,60-70,1
2017 09 19,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,357000,44.75,9269.27374301676,3,BRAK MP,DOBRY,60-70,1
2018 06 04,Gdynia, Wzgórze Św. Maksymiliana,Wyspiańskiego,RYNEK WTÓRNY,330000,41.74,9233.15764254911,2,BRAK MP,DOBRY,60-70,1
2017 01 30,Gdynia, Orłowo,Folwarczna,RYNEK WTÓRNY,750000,114.45,7545.30362603757,4,BRAK MP,DOBRY,2010,3
2017 05 18,Gdynia, Wzgórze Św. Maksymiliana,Batalionów Chłopskich,RYNEK WTÓRNY,590000,73.18,9162.94069417874,3,BRAK MP,DOBRY,60-70,1
2016 11 28,Gdynia, Orłowo,Górnośląski Pl.,RYNEK WTÓRNY,700000,90.19,8805.32209779355,3,BRAK MP,DOBRY,2010,3
2017 02 09,Gdynia, Cisowa,Janowska,RYNEK WTÓRNY,350000,58.84,7122.22977566281,3,MIEJSCE NAZIEMNE,DOBRY,2010,3
2017 02 09,Gdynia, Pustki Cisowskie,Chabrowa,RYNEK WTÓRNY,519000,98.46,6294.61710339224,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Chylonia,Morska,RYNEK WTÓRNY,215000,57.35,4932.51961639058,5,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Chylonia,Chylońska,RYNEK WTÓRNY,176000,48.22,4906.18000829531,5,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,325000,61.65,6428.54825628548,3,BRAK MP,PRZECIĘTNY,2010,3
2017 02 09,Gdynia, Dąbrowa,Gorczycowa,RYNEK WTÓRNY,368000,71.15,6281.37737174983,3,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,295000,59.25,6150.21097046414,1,BRAK MP,PRZECIĘTNY,2010,3
2017 02 09,Gdynia, Dąbrowa,Gorczycowa,RYNEK WTÓRNY,430000,107.75,4994.89559164733,1,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,290000,78.95,4751.86827105763,4,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Dąbrowa,Sojowa,RYNEK WTÓRNY,312000,87.81,4603.66700831341,4,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Dąbrowa,Szafranowa,RYNEK WTÓRNY,270000,90.35,4031.87603763143,4,BRAK MP,NISKI,40-50,1
2017 02 09,Gdynia, Grabówek,Kapitańska,RYNEK WTÓRNY,390000,69.5,6728.05755395684,4,BRAK MP,PRZECIĘTNY,60-70,1
2017 02 09,Gdynia, Kamienna Góra,Necla,RYNEK WTÓRNY,358600,67.28,6456.95600475624,2,BRAK MP,PRZECIĘTNY,30-40,1
2017 02 09,Gdynia, Kamienna Góra,Marszałka Piłsudskiego Al.,RYNEK WTÓRNY,320000,60.52,6451.02445472571,2,BRAK MP,PRZECIĘTNY,30-40,1
2017 02 09,Gdynia, Karwiny,Tatarczana,RYNEK WTÓRNY,270000,60.51,5625.64865311519,3,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Karwiny,Staffa,RYNEK WTÓRNY,372000,81.25,5649.23076923077,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Leszczynki,Dantyszka,RYNEK WTÓRNY,224000,58.06,5036.9962108164,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Oksywie,Płk. Dąbka,RYNEK WTÓRNY,238000,61.26,5044.20502775057,1,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Pogórze,Żelazna,RYNEK WTÓRNY,280000,71.05,5050.52779732583,9,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Płk. Dąbka,RYNEK WTÓRNY,180000,46.05,5186.53637350706,1,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Obłuże,Ledóchowskiego,RYNEK WTÓRNY,295000,70.29,5309.88760847916,2,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Śmidowicza,RYNEK WTÓRNY,259000,57.88,5654.87214927436,2,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Płk. Dąbka,RYNEK WTÓRNY,255000,56.65,5689.67343336275,3,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Bosmańska,RYNEK WTÓRNY,460000,86.46,6374.83229238955,1,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Bosmańska,RYNEK WTÓRNY,283000,51.25,6751.21951219512,3,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Oksywie,Gen. Karpińskiego,RYNEK WTÓRNY,292000,52.15,6821.09300095877,4,BRAK MP,PRZECIĘTNY,2010,3
2017 02 09,Gdynia, Obłuże,Turkusowa,RYNEK WTÓRNY,326000,57.15,6889.23884514436,4,BRAK MP,PRZECIĘTNY,2010,3
2017 02 09,Gdynia, Obłuże,Perłowa,RYNEK WTÓRNY,347000,75.45,5690.65606361829,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Pustki Cisowskie,Chabrowa,RYNEK WTÓRNY,490000,106.7,5598.50046860356,1,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Pustki Cisowskie,Borowikowa,RYNEK WTÓRNY,314000,83.48,4824.91614758026,3,BRAK MP,PRZECIĘTNY,80,2
2017 02 09,Gdynia, Pustki Cisowskie,Demptowska,RYNEK WTÓRNY,299000,86.35,4517.42906774754,1,BRAK MP,NISKI,80,2
2017 02 09,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,285000,57.75,6116.01731601732,3,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Sopot, Sopot,Sienkiewicza,RYNEK WTÓRNY,535000,82,7592.68292682927,5,BRAK MP,DOBRY,30,1
2017 02 09,Gdynia, Śródmieście z Portem,Św. Wojciecha,RYNEK WTÓRNY,790000,87.45,10085.3058890795,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Solna,RYNEK WTÓRNY,497000,85.89,6842.61264407964,1,BRAK MP,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Myśliwska,RYNEK WTÓRNY,495000,88.86,6618.14089579113,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Wielki Kack,Górnicza,RYNEK WTÓRNY,565000,123.64,5547.65448075057,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2017 02 09,Gdynia, Witomino,Nauczycielska,RYNEK WTÓRNY,230000,45.71,6313.01684532925,2,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Witomino,Konwaliowa,RYNEK WTÓRNY,270500,52.43,6378.86706084303,3,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Witomino,Widna,RYNEK WTÓRNY,250000,45.96,6718.18973020018,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Witomino,Morskiego Pułku Strzelców,RYNEK WTÓRNY,258000,46.88,6772.69624573379,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 02 09,Gdynia, Witomino,Narcyzowa,RYNEK WTÓRNY,378350,61.06,7356.66557484442,3,BRAK MP,DOBRY,70-80,2
2017 05 04,Gdynia, Wzgórze Św. Maksymiliana,Gen. Hallera,RYNEK WTÓRNY,1020000,124.65,9159.40633774569,3,BRAK MP,DOBRY,60-70,1
2018 09 06,Gdynia, Wzgórze Św. Maksymiliana,Władysława IV,RYNEK WTÓRNY,215000,28.85,9014.90467937608,5,BRAK MP,DOBRY,60-70,1
2017 03 27,Gdynia, Orłowo,Górnośląski Pl.,RYNEK WTÓRNY,700000,88.15,8990.58423142371,3,BRAK MP,DOBRY,2010,3
2017 02 09,Sopot, Sopot,Niepodległości Al.,RYNEK WTÓRNY,770000,129.85,6899.34539853677,2,BRAK MP,PRZECIĘTNY,60-70,1
2017 02 09,Sopot, Sopot,Czyżewskiego,RYNEK WTÓRNY,362000,63.75,6823.52941176471,3,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 08,Gdynia, Chwarzno-Wiczlino,Filipkowskiego,RYNEK WTÓRNY,585000,69.4,9546.3976945245,4,BRAK MP,BARDZO DOBRY,2015,3
2017 03 08,Gdynia, Orłowo,Wrocławska,RYNEK WTÓRNY,650000,75.98,9644.43274545933,1,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2017 03 08,Sopot, Sopot,Haffnera,RYNEK WTÓRNY,1700000,78.75,22666.6666666667,1,BRAK MP,WYSOKI,40-50,1
2017 03 08,Sopot, Sopot,Powstańców Warszawy,RYNEK WTÓRNY,820000,69.45,12923.8300935925,1,BRAK MP,BARDZO DOBRY,30,1
2017 03 08,Sopot, Sopot,Bohaterów Monte Cassino,RYNEK WTÓRNY,732500,69.45,11663.9308855292,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 03 08,Gdynia, Działki Leśne,Śląska,RYNEK WTÓRNY,340000,57.85,7057.56266205704,1,BRAK MP,DOBRY,50-60,1
2017 03 08,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,430156.17,72.78,7012.64317120088,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 03 08,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,290000,75.75,4918.81188118812,10,BRAK MP,PRZECIĘTNY,80,2
2017 03 09,Gdynia, Mały Kack,Wzgórze Bernadowo,RYNEK WTÓRNY,305000,58.97,6345.19247074784,1,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,2010-2015,3
2017 03 09,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK WTÓRNY,585000,77.26,8656.58814392959,2,BRAK MP,DOBRY,40-50,1
2017 03 09,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,292000,74.61,5008.55113255596,10,BRAK MP,PRZECIĘTNY,80,2
2017 03 09,Gdynia, Karwiny,Gałczyńskiego,RYNEK WTÓRNY,335000,66.95,6132.33756534727,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 03 09,Gdynia, Redłowo,Powstania Wielkopolskiego,RYNEK WTÓRNY,262000,60.7,5478.74794069193,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 03 09,Gdynia, Witomino,Konwaliowa,RYNEK WTÓRNY,630000,75.98,9381.2055804159,2,BRAK MP,DOBRY,70-80,2
2017 03 10,Gdynia, Mały Kack,Parkowa,RYNEK WTÓRNY,595000,83.55,8184.79952124476,3,BRAK MP,DOBRY,2010-2015,3
2017 03 10,Gdynia, Śródmieście z Portem,Wójta Radtkego,RYNEK WTÓRNY,415000,76.29,6528.14261371084,4,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 10,Gdynia, Obłuże,Stolarska,RYNEK WTÓRNY,215000,56.85,4968.8654353562,7,BRAK MP,PRZECIĘTNY,80,2
2017 03 10,Gdynia, Dąbrowa,Sojowa,RYNEK WTÓRNY,350000,106.69,4286.73727622083,3,BRAK MP,NISKI,40-50,1
2017 03 10,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,840000,144.18,6778.63781384381,5,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 13,Gdynia, Mały Kack,Łowicka,RYNEK PIERWOTNY,540740.74,90.9,6990.76721672167,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 03 13,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,635000,90.85,8031.70060539351,5,BRAK MP,DOBRY,2010,3
2017 03 13,Gdynia, Grabówek,Morska,RYNEK WTÓRNY,225000,61.25,4832.65306122449,1,BRAK MP,PRZECIĘTNY,60-70,1
2017 03 13,Gdynia, Redłowo,Powstania Wielkopolskiego,RYNEK WTÓRNY,265000,50.96,6431.86813186813,5,BRAK MP,PRZECIĘTNY,70-80,2
2017 03 14,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,440000,81.76,6450.68493150685,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 14,Gdynia, Orłowo,Oficerska,RYNEK PIERWOTNY,694444.44,92.57,8539.48838716647,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 03 14,Gdynia, Cisowa,Chylońska,RYNEK WTÓRNY,250000,51.15,6117.69305962854,3,BRAK MP,PRZECIĘTNY,80,2
2017 03 14,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,369000,67.35,6605.49368968077,1,BRAK MP,PRZECIĘTNY,2010,3
2017 03 14,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,380000,73.65,6258.24847250509,5,BRAK MP,PRZECIĘTNY,2010,3
2018 04 19,Gdynia, Wzgórze Św. Maksymiliana,Orzeszkowej,RYNEK WTÓRNY,288000,37.85,8990.22457067371,2,BRAK MP,DOBRY,60-70,1
2017 03 14,Gdynia, Wielki Kack,Żuławska,RYNEK WTÓRNY,423000,81.2,6280.29556650246,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2017 03 14,Sopot, Sopot,Niepodległości Al.,RYNEK WTÓRNY,435000,91.45,5797.26626571897,3,BRAK MP,PRZECIĘTNY,60-70,1
2017 03 15,Sopot, Sopot,Książąt Pomorskich,RYNEK WTÓRNY,980000,87.55,12244.8886350657,3,BRAK MP,BARDZO DOBRY,40-50,1
2017 03 15,Gdynia, Chylonia,Gniewska,RYNEK WTÓRNY,190000,46.9,5320.25586353945,4,BRAK MP,PRZECIĘTNY,80,2
2017 03 16,Gdynia, Śródmieście z Portem,Wójta Radtkego,RYNEK WTÓRNY,430000,81.14,6370.61868375647,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 16,Gdynia, Witomino,Morskiego Pułku Strzelców,RYNEK WTÓRNY,295000,66.17,5590.69064530754,5,BRAK MP,PRZECIĘTNY,70-80,2
2017 03 16,Gdynia, Cisowa,Południowa,RYNEK WTÓRNY,265000,57.21,5816.60548855095,4,BRAK MP,PRZECIĘTNY,80,2
2017 03 16,Gdynia, Cisowa,Chylońska,RYNEK WTÓRNY,215000,49.45,5592.71991911021,3,BRAK MP,PRZECIĘTNY,80,2
2017 03 16,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK PIERWOTNY,802777.78,70.74,12459.2844218264,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2015,3
2017 03 17,Sopot, Sopot,3 Maja,RYNEK WTÓRNY,480000,61.05,9022.76822276822,2,BRAK MP,DOBRY,40-50,1
2017 03 17,Gdynia, Śródmieście z Portem,3 Maja,RYNEK WTÓRNY,350000,53.65,7733.83038210624,3,BRAK MP,DOBRY,40-50,1
2018 04 04,Gdynia, Wzgórze Św. Maksymiliana,Krasickiego,RYNEK WTÓRNY,318000,41.6,8973.07692307692,2,BRAK MP,DOBRY,60-70,1
2017 03 17,Gdynia, Witomino,Konwaliowa,RYNEK WTÓRNY,268000,45.35,7194.70782800441,5,BRAK MP,DOBRY,70-80,2
2017 03 19,Gdynia, Chwarzno-Wiczlino,Janki Bryla,RYNEK WTÓRNY,450000,67.16,7827.99285288863,1,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DOBRY,2015,3
2017 03 20,Sopot, Sopot,Armii Krajowej,RYNEK WTÓRNY,730000,66.54,12101.4727983168,2,BRAK MP,BARDZO DOBRY,2010,3
2017 03 20,Gdynia, Mały Kack,Strzelców,RYNEK WTÓRNY,520000,74.45,8080.05372733378,2,BRAK MP,DOBRY,2010-2015,3
2017 03 20,Gdynia, Kamienna Góra,Mariacka,RYNEK PIERWOTNY,417000,60.14,8099.63418689724,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,70-80,2
2017 03 20,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,481000,75.19,7489.71937757681,5,BRAK MP,DOBRY,40-50,1
2017 03 20,Gdynia, Wielki Kack,Nowodworcowa,RYNEK WTÓRNY,497500,84.6,6940.66193853428,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2017 03 20,Gdynia, Dąbrowa,Miłkowa,RYNEK WTÓRNY,347000,68.95,6151.70413343002,1,BRAK MP,PRZECIĘTNY,40-50,1
2017 03 20,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK WTÓRNY,833333.56,94.43,9857.85830774118,5,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,40-50,1
2017 03 20,Gdynia, Śródmieście z Portem,Hryniewickiego,RYNEK WTÓRNY,865000,74.45,12714.0362659503,3,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2015,3
